criterion,max_depth,min_samples_split,n_estimators,task_id,mse,worker,compute_time,finished_at
squared_error,3,10,100,task_27,26.012994651683556,JuledeMacBook-Air.local,0.2667,2025-12-13 03:12:47
squared_error,3,5,500,task_24,25.66048760334258,JuledeMacBook-Air.local,1.3111,2025-12-13 03:12:47
squared_error,3,10,200,task_28,25.51625113345645,JuledeMacBook-Air.local,0.5281,2025-12-13 03:12:48
squared_error,5,2,10,task_30,24.906329550234265,JuledeMacBook-Air.local,0.0382,2025-12-13 03:12:48
squared_error,5,2,50,task_31,23.193096392978667,JuledeMacBook-Air.local,0.1796,2025-12-13 03:12:48
squared_error,5,2,100,task_32,22.64375939240571,JuledeMacBook-Air.local,0.3544,2025-12-13 03:12:48
squared_error,3,10,500,task_29,25.571161474004747,JuledeMacBook-Air.local,1.3096,2025-12-13 03:12:49
squared_error,5,2,200,task_33,22.282610895725714,JuledeMacBook-Air.local,0.7064,2025-12-13 03:12:49
squared_error,5,5,10,task_35,24.225112476620033,JuledeMacBook-Air.local,0.0382,2025-12-13 03:12:49
squared_error,5,5,50,task_36,23.819978882674388,JuledeMacBook-Air.local,0.1788,2025-12-13 03:12:49
squared_error,5,5,100,task_37,23.155640213634925,JuledeMacBook-Air.local,0.354,2025-12-13 03:12:49
squared_error,5,5,200,task_38,22.576844708246053,JuledeMacBook-Air.local,0.7036,2025-12-13 03:12:50
squared_error,5,2,500,task_34,22.365686197412835,JuledeMacBook-Air.local,1.7543,2025-12-13 03:12:51
squared_error,5,10,10,task_40,25.495997509169364,JuledeMacBook-Air.local,0.0372,2025-12-13 03:12:51
squared_error,5,10,50,task_41,24.081878909512085,JuledeMacBook-Air.local,0.1751,2025-12-13 03:12:51
squared_error,5,10,100,task_42,23.154714587916228,JuledeMacBook-Air.local,0.3471,2025-12-13 03:12:51
squared_error,5,10,200,task_43,22.600214270451925,JuledeMacBook-Air.local,0.6919,2025-12-13 03:12:52
squared_error,5,5,500,task_39,22.62011399188898,JuledeMacBook-Air.local,1.7558,2025-12-13 03:12:52
squared_error,10,2,10,task_45,23.929099948423627,JuledeMacBook-Air.local,0.0547,2025-12-13 03:12:52
squared_error,10,2,50,task_46,22.824806342275778,JuledeMacBook-Air.local,0.2628,2025-12-13 03:12:52
squared_error,10,2,100,task_47,21.754337433008914,JuledeMacBook-Air.local,0.518,2025-12-13 03:12:53
squared_error,5,10,500,task_44,22.720819550259996,JuledeMacBook-Air.local,1.7303,2025-12-13 03:12:54
squared_error,10,2,200,task_48,21.401724405178737,JuledeMacBook-Air.local,1.0417,2025-12-13 03:12:54
squared_error,10,5,10,task_50,23.051419832376546,JuledeMacBook-Air.local,0.052,2025-12-13 03:12:54
squared_error,10,5,50,task_51,22.562700104768545,JuledeMacBook-Air.local,0.2485,2025-12-13 03:12:54
squared_error,10,5,100,task_52,21.626003691550814,JuledeMacBook-Air.local,0.4966,2025-12-13 03:12:55
squared_error,10,5,200,task_53,21.623559641943302,JuledeMacBook-Air.local,0.9873,2025-12-13 03:12:56
squared_error,10,2,500,task_49,21.613298712134775,JuledeMacBook-Air.local,2.5822,2025-12-13 03:12:56
squared_error,10,10,10,task_55,24.072104810191806,JuledeMacBook-Air.local,0.0481,2025-12-13 03:12:56
squared_error,10,10,50,task_56,23.08181143574762,JuledeMacBook-Air.local,0.2287,2025-12-13 03:12:56
squared_error,10,10,100,task_57,21.983221212225242,JuledeMacBook-Air.local,0.4537,2025-12-13 03:12:57
squared_error,10,10,200,task_58,21.76890756938156,JuledeMacBook-Air.local,0.9044,2025-12-13 03:12:58
squared_error,10,5,500,task_54,21.681040807267284,JuledeMacBook-Air.local,2.4661,2025-12-13 03:12:58
squared_error,20,2,10,task_60,24.096448633225943,JuledeMacBook-Air.local,0.059,2025-12-13 03:12:58
squared_error,20,2,50,task_61,22.46115199939257,JuledeMacBook-Air.local,0.2868,2025-12-13 03:12:59
squared_error,20,2,100,task_62,21.469303588540203,JuledeMacBook-Air.local,0.571,2025-12-13 03:12:59
squared_error,10,10,500,task_59,21.817860572386017,JuledeMacBook-Air.local,2.2636,2025-12-13 03:13:00
